Date,Activity,Group,Duration,Distance,Steps,Calories
3/7/2015,walking,walking,955,0.478,1354,0
3/7/2015,transport,transport,2169,8.708,0,0
3/8/2015,walking,walking,903,0.575,1324,0
3/8/2015,transport,transport,17134,311.633,0,0
3/9/2015,walking,walking,6850,4.585,10813,0
3/9/2015,transport,transport,2117,6.235,0,0
3/10/2015,walking,walking,3807,2.425,5796,0
3/10/2015,transport,transport,1354,3.016,0,0
3/11/2015,walking,walking,5260,3.6,7947,0
3/11/2015,transport,transport,1481,3.27,0,0
3/12/2015,walking,walking,5135,3.48,7843,0
3/12/2015,transport,transport,2132,8.176,0,0
3/13/2015,walking,walking,4761,3.109,7140,0
3/13/2015,transport,transport,4115,21.526,0,0
3/14/2015,walking,walking,2348,1.403,3433,0
3/14/2015,transport,transport,7259,50.157,0,0
3/15/2015,walking,walking,3070,1.888,4249,0
3/15/2015,transport,transport,1910,10.02,0,0
3/16/2015,walking,walking,3899,2.655,6106,0
3/16/2015,transport,transport,1629,8.943,0,0
3/17/2015,walking,walking,4066,2.848,6310,0
3/17/2015,transport,transport,1810,9.489,0,0
3/18/2015,walking,walking,4649,2.703,6382,0
3/18/2015,transport,transport,4984,23.966,0,0
3/19/2015,walking,walking,4025,2.763,5963,0
3/19/2015,transport,transport,5263,25.911,0,0
3/20/2015,walking,walking,6462,4.548,9821,0
3/20/2015,transport,transport,3579,15.362,0,0
3/21/2015,walking,walking,2953,1.97,4460,0
3/21/2015,transport,transport,329,1.363,0,0
3/22/2015,walking,walking,912,0.465,1315,0
3/22/2015,transport,transport,1083,6.296,0,0
3/23/2015,walking,walking,2974,2.115,4786,0
3/23/2015,transport,transport,1160,2.901,0,0
3/24/2015,walking,walking,3936,2.269,5844,0
3/24/2015,transport,transport,1768,3.142,0,0
3/25/2015,walking,walking,3584,2.197,5205,0
3/25/2015,transport,transport,1436,3.471,0,0
3/26/2015,walking,walking,575,0.311,1007,0
3/26/2015,transport,transport,1815,12.234,0,0
3/27/2015,walking,walking,2719,2.052,4015,0
3/27/2015,transport,transport,698,1.545,0,0
3/28/2015,transport,transport,1664,10.578,0,0
3/28/2015,walking,walking,1926,1.169,2461,0
3/29/2015,walking,walking,2640,1.438,3534,0
3/29/2015,transport,transport,1194,7.036,0,0
3/30/2015,walking,walking,4441,2.932,6741,0
3/30/2015,transport,transport,3205,15.637,0,0
3/31/2015,walking,walking,5103,3.308,7834,0
3/31/2015,transport,transport,1097,2.556,0,0
4/1/2015,walking,walking,7846,5.019,11425,0
4/1/2015,transport,transport,1565,4.042,0,0
4/2/2015,walking,walking,2338,1.273,3038,0
4/2/2015,transport,transport,1899,6.631,0,0
4/3/2015,walking,walking,2152,0.955,2783,0
4/3/2015,transport,transport,3542,29.114,0,0
4/4/2015,walking,walking,8303,4.553,11215,0
4/4/2015,transport,transport,1981,10.036,0,0
4/5/2015,walking,walking,1244,0.759,1917,0
4/5/2015,transport,transport,2938,10.064,0,0
4/6/2015,walking,walking,3778,2.435,6008,0
4/6/2015,transport,transport,2204,6.7,0,0
4/7/2015,walking,walking,3728,2.344,5587,0
4/7/2015,transport,transport,2985,10.11,0,0
4/8/2015,walking,walking,5800,3.941,9165,0
4/8/2015,transport,transport,2146,6.495,0,0
4/9/2015,walking,walking,571,0.306,837,0
4/9/2015,transport,transport,3241,13.261,0,0
4/10/2015,walking,walking,6021,4.18,8768,0
4/10/2015,transport,transport,755,2.186,0,0
4/11/2015,walking,walking,30,0.022,71,0
